,buffer_size,real_time,user_time,sys_time
buffer_size,1.0,0.0,0.0,0.0
real_time,0.0,1.0,0.9997928156343053,0.9999997712677202
user_time,0.0,0.9997928156343053,1.0,0.9997791541083096
sys_time,0.0,0.9999997712677202,0.9997791541083096,1.0
